"","h16_g3","h16_g4","h16_g6","h16_eco9","h16_reg7","p1602_8aq1"
"543",1,1969,8,NA,1,NA
"544",2,1930,2,NA,1,NA
"545",2,1953,5,NA,6,NA
"546",2,1983,6,NA,6,NA
"547",2,2013,3,NA,6,NA
"548",1,1978,6,312,6,439
"549",1,2010,3,NA,6,NA
"550",1,1969,7,311,2,583
"551",2,1973,7,252,2,567
"552",2,2000,7,NA,2,NA
"553",1,2003,5,NA,2,NA
"554",2,1943,3,NA,1,NA
"555",1,1969,7,411,1,675
"556",2,1972,7,259,1,200
"557",2,2000,6,NA,1,NA
"558",2,2002,5,NA,1,NA
"559",1,1975,6,852,1,NA
"560",2,1976,5,NA,1,NA
"561",1,2004,5,NA,1,NA
"562",1,2009,3,NA,1,NA
"563",1,1969,6,NA,1,NA
"564",1,1956,7,314,1,188
"565",2,1958,6,NA,1,NA
"566",2,1963,7,NA,3,NA
"567",1,1948,5,NA,1,NA
"568",2,1954,3,NA,1,NA
"569",2,1979,7,NA,1,NA
"570",1,1979,6,873,1,492
"571",2,2011,3,NA,1,NA
"572",1,2013,3,NA,1,NA
"573",1,1957,5,NA,1,NA
"574",2,1955,5,NA,1,NA
"575",1,1968,7,223,1,675
"576",2,1971,7,311,1,241
"577",1,1958,5,783,1,NA
"578",2,1990,7,241,1,446
"579",2,1962,6,391,1,242
"580",2,1986,7,254,1,267
"581",1,1990,7,312,1,250
"582",2,1950,7,NA,1,NA
"583",1,1933,5,NA,1,NA
"584",2,1939,3,NA,1,NA
"585",1,1965,7,941,1,118
"586",2,1940,3,NA,1,NA
"587",1,1942,3,941,1,10
"588",1,1975,5,510,1,NA
"589",2,1980,5,312,1,261
"590",1,2007,4,NA,1,NA
"591",2,2009,3,NA,1,NA
"592",1,1935,5,NA,1,NA
"593",2,1942,4,NA,1,NA
"594",1,1973,5,873,2,NA
"595",2,1976,5,NA,2,NA
"596",1,1935,3,NA,1,NA
"597",2,1941,2,NA,1,NA
"598",1,1926,7,NA,1,NA
"599",1,1949,4,942,1,190
"600",2,1955,3,NA,1,NA
"601",2,1990,6,399,1,205
"602",2,1990,5,NA,2,NA
"603",2,1992,6,521,2,242
"604",1,1954,5,922,2,300
"605",2,1960,5,941,2,130
"606",1,1995,7,922,2,NA
"607",1,1968,5,NA,1,NA
"608",2,1934,3,NA,1,NA
"609",1,1963,7,NA,1,NA
"610",1,1970,4,NA,1,NA
"611",1,1993,6,761,1,235
"612",2,1968,6,442,1,NA
"613",2,2005,4,NA,1,NA
"614",2,2007,4,NA,1,NA
"615",2,1971,8,133,1,NA
"616",1,1946,3,NA,1,NA
"617",2,1951,3,NA,1,NA
"618",2,1979,7,311,1,577
"619",1,1978,7,311,1,377
"620",2,2007,4,NA,1,NA
"621",1,2010,3,NA,1,NA
"622",1,1945,3,254,2,55
"623",2,1951,7,246,2,190
"624",2,1970,5,521,1,175
"625",2,1999,5,285,1,231
"626",1,1995,5,863,2,256
"627",2,1933,2,NA,2,NA
"628",1,1995,5,743,2,275
"629",1,1947,7,782,1,NA
"630",2,1942,4,NA,1,NA
"631",2,1942,3,NA,1,NA
"632",1,1961,7,782,1,NA
"633",1,1993,5,792,3,319
"634",2,1995,5,313,1,243
"635",1,1932,7,NA,1,NA
"636",2,1939,5,NA,1,NA
"637",2,1978,6,NA,1,NA
"638",1,1983,5,159,1,NA
"639",1,1945,4,NA,1,NA
"640",2,1951,4,NA,1,NA
"641",2,1965,5,441,1,312
"642",2,1986,5,286,1,133
"643",1,1945,7,NA,1,NA
"644",2,1949,7,NA,1,NA
"645",1,1968,7,254,2,NA
"646",2,1969,7,254,2,NA
"647",1,1997,7,NA,2,NA
"648",1,1959,3,873,2,210
"649",2,1960,3,951,2,100
"650",1,1988,5,521,2,315
"651",2,1986,5,312,2,NA
"652",1,1980,5,921,2,NA
"653",2,2015,1,NA,2,NA
"654",2,2017,1,NA,2,NA
"655",1,1962,7,399,1,130
"656",2,1965,7,941,1,196
"657",2,1991,7,NA,1,NA
"658",1,1994,7,910,1,NA
"659",1,1965,5,811,1,NA
"660",2,1965,5,811,1,NA
"661",2,1992,7,399,1,180
"662",2,1996,7,246,3,360
"663",1,1964,6,312,2,400
"664",2,1966,5,421,2,287
"665",1,1990,5,930,2,100
"666",2,1997,7,NA,2,NA
"667",2,1953,5,NA,1,NA
"668",1,1950,4,NA,1,NA
"669",2,1954,4,NA,1,NA
"670",2,1984,5,NA,1,NA
